code,name,aliases,icd10_unverified,category
SLD-OBG-015,Ovarian cyst,ovarian cyst,N83.20,Obstetrics & Gynaecology
SLD-OBG-016,Infertility female,infertility|বন্ধ্যাত্ব,N97.9,Obstetrics & Gynaecology
SLD-OBG-017,Menopausal syndrome,menopause,N95.1,Obstetrics & Gynaecology
SLD-OBG-018,Contraception counselling,family planning|birth control|জন্মনিয়ন্ত্রণ,Z30.09,Obstetrics & Gynaecology
SLD-OBG-019,Breast lump,breast lump|স্তনে চাকা,N63.0,Obstetrics & Gynaecology
SLD-OBG-020,Mastitis,mastitis|breast infection,N61.0,Obstetrics & Gynaecology
SLD-OBG-021,Uterine prolapse,prolapse|জরায়ু নামা,N81.4,Obstetrics & Gynaecology
SLD-PED-001,Acute diarrhoea in child,child diarrhoea|শিশু ডায়রিয়া,A09,Paediatric
SLD-PED-002,Childhood pneumonia,child pneumonia,J18.9,Paediatric
SLD-PED-003,Severe acute malnutrition,SAM|malnutrition|অপুষ্টি,E43,Paediatric
SLD-PED-004,Neonatal jaundice,newborn jaundice|নবজাতক জন্ডিস,P59.9,Paediatric
SLD-PED-005,Febrile convulsion,febrile seizure|জ্বরে খিঁচুনি,R56.00,Paediatric
SLD-PED-006,Infantile colic,colic|পেট ব্যথা শিশু,R10.83,Paediatric
SLD-PED-007,Teething problem,teething,K00.7,Paediatric
SLD-PED-008,Attention deficit hyperactivity disorder,ADHD,F90.9,Paediatric
SLD-PED-009,Autism spectrum disorder,autism|ASD,F84.0,Paediatric
SLD-PED-010,Delayed development,developmental delay,F88,Paediatric
SLD-PED-011,Routine immunisation,vaccination|টিকা|immunization,Z23,Paediatric
SLD-PED-012,Failure to thrive,poor weight gain|ওজন কম,R62.51,Paediatric
SLD-PED-013,Bronchiolitis,bronchiolitis,J21.9,Paediatric
SLD-PED-014,Nocturnal enuresis,bedwetting|বিছানায় প্রস্রাব,F98.0,Paediatric
SLD-HEM-001,Iron deficiency anaemia,IDA|anaemia|রক্তশূন্যতা|anemia,D50.9,Haematological
SLD-HEM-002,Anaemia unspecified,anaemia NOS,D64.9,Haematological
SLD-HEM-003,Thalassaemia,thalassemia|থ্যালাসেমিয়া,D56.9,Haematological
SLD-HEM-004,Immune thrombocytopenic purpura,ITP|low platelet,D69.3,Haematological
SLD-HEM-005,Leukaemia,leukemia|blood cancer|রক্ত ক্যান্সার,C95.90,Haematological
SLD-HEM-006,Lymphadenopathy,lymph node swelling|গ্ল্যান্ড ফোলা,R59.9,Haematological
SLD-EYE-001,Acute conjunctivitis,conjunctivitis|red eye|চোখ ওঠা,H10.30,Eye
SLD-EYE-002,Cataract,cataract|ছানি,H26.9,Eye
SLD-EYE-003,Refractive error,short sight|glasses|চশমা|myopia,H52.7,Eye
SLD-EYE-004,Glaucoma,glaucoma,H40.9,Eye
SLD-EYE-005,Hordeolum,stye|অঞ্জনি,H00.019,Eye
SLD-EYE-006,Dry eye syndrome,dry eye,H04.129,Eye
SLD-EYE-007,Diabetic retinopathy,diabetic eye|retinopathy,E11.319,Eye
SLD-EYE-008,Pterygium,pterygium|নখুনা,H11.009,Eye
SLD-ENT-001,Acute otitis media,ear infection|কানে ব্যথা|AOM,H66.90,Ear Nose Throat
SLD-ENT-002,Chronic suppurative otitis media,CSOM|ear discharge|কান পাকা,H66.3X9,Ear Nose Throat
SLD-ENT-003,Impacted cerumen,ear wax|কানের ময়লা,H61.20,Ear Nose Throat
SLD-ENT-004,Hearing loss,deafness|কানে কম শোনা,H91.90,Ear Nose Throat
SLD-ENT-005,Epistaxis,nose bleed|নাক দিয়ে রক্ত,R04.0,Ear Nose Throat
SLD-ENT-006,Deviated nasal septum,DNS|septum deviation,J34.2,Ear Nose Throat
SLD-ENT-007,Nasal polyp,nasal polyp|পলিপ,J33.9,Ear Nose Throat
SLD-ENT-008,Tinnitus,ear ringing|কানে শব্দ,H93.19,Ear Nose Throat
SLD-ENT-009,Adenoid hypertrophy,adenoid,J35.2,Ear Nose Throat
SLD-ENT-010,Dental caries / toothache,tooth pain|দাঁত ব্যথা|caries,K02.9,Ear Nose Throat
SLD-ENT-011,Aphthous ulcer,mouth ulcer|মুখে ঘা,K12.0,Ear Nose Throat
SLD-PSY-001,Generalised anxiety disorder,anxiety|GAD|দুশ্চিন্তা,F41.1,Mental Health
SLD-PSY-002,Major depressive disorder,depression|বিষণ্নতা|MDD,F32.9,Mental Health
SLD-PSY-003,Panic disorder,panic attack,F41.0,Mental Health
SLD-PSY-004,Obsessive compulsive disorder,OCD,F42.9,Mental Health
SLD-PSY-005,Somatoform disorder,somatisation|medically unexplained,F45.9,Mental Health
SLD-PSY-006,Bipolar affective disorder,bipolar|manic depression,F31.9,Mental Health
SLD-PSY-007,Schizophrenia,schizophrenia,F20.9,Mental Health
SLD-PSY-008,Substance use disorder,addiction|drug abuse|নেশা,F19.20,Mental Health
SLD-PSY-009,Tobacco use disorder,smoking|ধূমপান|tobacco,F17.200,Mental Health
SLD-PSY-010,Adjustment disorder,stress reaction,F43.20,Mental Health
SLD-GEN-001,Fever unspecified,fever|জ্বর,R50.9,General
SLD-GEN-002,Fatigue / generalised weakness,weakness|দুর্বলতা|tiredness,R53.83,General
SLD-GEN-003,Unintentional weight loss,weight loss|ওজন কমা,R63.4,General
SLD-GEN-004,Loss of appetite,anorexia|খাওয়ার রুচি নেই,R63.0,General
SLD-GEN-005,Dizziness,dizziness|মাথা ঘোরা,R42,General
SLD-GEN-006,Allergy unspecified,allergy|এলার্জি,T78.40,General
SLD-GEN-007,Drug reaction,drug allergy|ওষুধে এলার্জি,T88.7,General
SLD-GEN-008,Health check up,checkup|routine examination|চেকআপ,Z00.00,General
SLD-GEN-009,Vitamin deficiency unspecified,vitamin deficiency,E56.9,General
SLD-GEN-010,Burn,burn|পোড়া,T30.0,General
SLD-GEN-011,Road traffic injury,RTA|accident|দুর্ঘটনা,T14.90,General
SLD-GEN-012,Insect bite,insect bite|পোকার কামড়,T63.481,General
SLD-GEN-013,Heat exhaustion,heat stroke|গরমে অসুস্থ,T67.5,General
SLD-GEN-014,Chest pain unspecified,chest pain|বুকে ব্যথা,R07.9,General
SLD-GEN-015,Oedema unspecified,swelling|পা ফোলা|edema,R60.9,General
SLD-GEN-016,Follow up visit,follow up|ফলোআপ|review,Z09,General
SLD-GEN-017,Medical certificate,certificate|fitness certificate,Z02.79,General
