## ChamberQ starter advice and investigations, per diagnosis
## ------------------------------------------------------------------------
## Tapped into the Advice and Inv boxes when a doctor picks the diagnosis.
## Nothing is applied on its own and every word stays editable.
##
## NO MEDICINES ARE LISTED HERE, deliberately. A drug set attached to a
## diagnosis is a clinical recommendation and this product does not make those
## -- the doctor builds his own drug packs from prescriptions he has written.
## Lifestyle advice and a routine work-up are a different kind of thing: they
## are what the doctor would say out loud anyway, and getting them printed in
## Bangla is worth more to the patient than to him.
##
## `advice` is shown when the panel is in English, `advice_bn` when it is in
## Bangla, so the doctor always signs text in the language he is reading.
## Investigations stay in English: that is how every lab in the country
## prints a request.
##
## To stop a preset appearing, put  hold  in the last column.
## Reload after editing:  php artisan condition-presets:load
code,advice,advice_bn,tests,hold
SLD-GI-019,"Lose weight slowly with daily walking. Avoid sugar, soft drinks and fried food. No alcohol.","প্রতিদিন হাঁটার মাধ্যমে ধীরে ধীরে ওজন কমান। চিনি, কোমল পানীয় ও ভাজাপোড়া এড়িয়ে চলুন। মদ্যপান নয়।","LFT, Lipid profile, USG of whole abdomen, HbA1c",
# --- Heart and pressure ---------------------------------------------------
SLD-CVS-001,"Take the medicine every day, even when you feel well. Less salt, no pickle or extra salt at the table. Walk thirty minutes daily. Check pressure once a week.","ভালো বোধ করলেও প্রতিদিন ওষুধ খাবেন। লবণ কম খান, পাতে বাড়তি লবণ বা আচার নয়। প্রতিদিন ত্রিশ মিনিট হাঁটুন। সপ্তাহে একবার প্রেসার মাপুন।","CBC, S. Creatinine, Lipid profile, Fasting blood sugar, ECG, Urine R/E",
SLD-CVS-002,"Never stop the heart medicines on your own. Report chest pain, sweating or breathlessness immediately. Walk daily as tolerated. Stop smoking completely.","হৃদরোগের ওষুধ নিজে থেকে কখনো বন্ধ করবেন না। বুকে ব্যথা, ঘাম বা শ্বাসকষ্ট হলে সাথে সাথে জানাবেন। সহ্য অনুযায়ী প্রতিদিন হাঁটুন। ধূমপান সম্পূর্ণ বন্ধ করুন।","ECG, Lipid profile, Fasting blood sugar, S. Creatinine, Echocardiogram",
SLD-CVS-008,"Reduce fried food, red meat and sweets. Walk at least thirty minutes daily. Recheck the lipid profile after three months.","ভাজাপোড়া, গরুর মাংস ও মিষ্টি কমান। প্রতিদিন অন্তত ত্রিশ মিনিট হাঁটুন। তিন মাস পর আবার লিপিড প্রোফাইল করাবেন।","Lipid profile, Fasting blood sugar, LFT",
SLD-CVS-005,"Weigh yourself every morning and report a sudden gain. Limit salt and fluids as advised. Sleep with the head raised.","প্রতিদিন সকালে ওজন মাপুন, হঠাৎ বাড়লে জানাবেন। পরামর্শ অনুযায়ী লবণ ও পানি কম খাবেন। মাথা উঁচু করে ঘুমাবেন।","ECG, Echocardiogram, CBC, S. Creatinine, S. Electrolytes",
# --- Diabetes and thyroid -------------------------------------------------
SLD-END-001,"Take the medicine daily and never skip meals after taking it. Walk thirty minutes a day. Avoid sweets, soft drinks and white rice at night. Check the feet daily for any wound. Report shakiness or cold sweats at once.","প্রতিদিন ওষুধ খাবেন, ওষুধ খেয়ে খাবার বাদ দেবেন না। দিনে ত্রিশ মিনিট হাঁটুন। মিষ্টি, কোমল পানীয় ও রাতে বেশি ভাত এড়িয়ে চলুন। প্রতিদিন পা দেখে নেবেন কোনো ক্ষত আছে কিনা। হাত কাঁপা বা ঠান্ডা ঘাম হলে সাথে সাথে জানাবেন।","HbA1c, Fasting and 2 hours after breakfast blood sugar, S. Creatinine, Lipid profile, Urine R/E",
SLD-END-003,"This is the stage where it can still be turned around. Lose five percent of your weight, walk daily, cut sugar and refined carbohydrate.","এই পর্যায়ে এখনও ফিরিয়ে আনা সম্ভব। ওজনের পাঁচ শতাংশ কমান, প্রতিদিন হাঁটুন, চিনি ও সাদা ভাত-ময়দা কমান।","HbA1c, Fasting blood sugar, Lipid profile",
SLD-END-007,"Take the tablet on an empty stomach in the morning, thirty minutes before eating. Do not stop it without advice. Recheck the thyroid test as advised.","সকালে খালি পেটে, খাওয়ার ত্রিশ মিনিট আগে ট্যাবলেট খাবেন। পরামর্শ ছাড়া বন্ধ করবেন না। বলা সময়ে থাইরয়েড পরীক্ষা করাবেন।","TSH, FT4, CBC, Lipid profile",
SLD-END-008,"Avoid excess iodine. Report palpitation, weight loss or eye discomfort. Do not stop the medicine on your own.","অতিরিক্ত আয়োডিন এড়িয়ে চলুন। বুক ধড়ফড়, ওজন কমা বা চোখে সমস্যা হলে জানাবেন। নিজে থেকে ওষুধ বন্ধ করবেন না।","TSH, FT3, FT4, CBC, LFT",
SLD-END-010,"Aim for half a kilo a week, no faster. Walk daily, cut sugar and fried food, and keep dinner light and early.","সপ্তাহে আধা কেজি, এর বেশি নয়। প্রতিদিন হাঁটুন, চিনি ও ভাজাপোড়া কমান, রাতের খাবার হালকা ও তাড়াতাড়ি সারুন।","Fasting blood sugar, Lipid profile, TSH, LFT",
SLD-END-012,"Avoid red meat, organ meat and lentils in excess. Drink plenty of water. Avoid alcohol.","গরুর মাংস, কলিজা ও অতিরিক্ত ডাল এড়িয়ে চলুন। প্রচুর পানি পান করুন। মদ্যপান নয়।","S. Uric acid, S. Creatinine, CBC",
SLD-END-013,"Get fifteen to twenty minutes of sunlight on the arms and face most days.","বেশিরভাগ দিন হাত ও মুখে পনেরো থেকে বিশ মিনিট রোদ লাগান।","S. Vitamin D (25-OH), S. Calcium",
# --- Chest and airway -----------------------------------------------------
SLD-RES-001,"Rest and drink warm fluids. Gargle with warm salt water. It usually settles in five to seven days; return if fever persists beyond three days.","বিশ্রাম নিন ও গরম পানীয় পান করুন। কুসুম গরম লবণ পানি দিয়ে গার্গল করুন। সাধারণত পাঁচ-সাত দিনে ভালো হয়; তিন দিনের বেশি জ্বর থাকলে আবার আসুন।","",
SLD-RES-002,"Warm salt water gargle three times a day. Avoid cold drinks and ice cream. Rest the voice.","দিনে তিনবার কুসুম গরম লবণ পানি দিয়ে গার্গল করুন। ঠান্ডা পানীয় ও আইসক্রিম এড়িয়ে চলুন। কম কথা বলুন।","CBC",
SLD-RES-003,"Complete the full antibiotic course. Warm salt water gargle. Soft, warm food.","অ্যান্টিবায়োটিকের পুরো কোর্স শেষ করুন। কুসুম গরম লবণ পানি দিয়ে গার্গল করুন। নরম ও গরম খাবার খান।","CBC, Throat swab if recurrent",
SLD-RES-004,"Steam inhalation twice a day. Avoid dust and cold air. Complete the full course.","দিনে দুইবার গরম পানির ভাপ নিন। ধুলা ও ঠান্ডা বাতাস এড়িয়ে চলুন। পুরো কোর্স শেষ করুন।","X-ray PNS OM view",
SLD-RES-006,"Drink warm fluids. Stop smoking. Return if breathlessness, blood in sputum or fever beyond three days.","গরম পানীয় পান করুন। ধূমপান বন্ধ করুন। শ্বাসকষ্ট, কাশির সাথে রক্ত বা তিন দিনের বেশি জ্বর হলে আবার আসুন।","CBC, Chest X-ray P/A view",
SLD-RES-008,"Always carry the inhaler. Use the preventer daily even when you are well. Avoid dust, smoke and cold air. Go to hospital if the reliever stops working.","ইনহেলার সবসময় সাথে রাখুন। ভালো থাকলেও প্রতিদিন প্রিভেন্টার নেবেন। ধুলা, ধোঁয়া ও ঠান্ডা বাতাস এড়িয়ে চলুন। রিলিভারে কাজ না হলে হাসপাতালে যাবেন।","CBC with ESR, Chest X-ray P/A view, Spirometry",
SLD-RES-009,"Stop smoking completely — nothing else helps as much. Use the inhaler correctly every day. Take the flu vaccine yearly.","ধূমপান সম্পূর্ণ বন্ধ করুন — অন্য কিছুতে এত উপকার হয় না। প্রতিদিন সঠিক নিয়মে ইনহেলার নিন। প্রতি বছর ফ্লু টিকা নিন।","Chest X-ray P/A view, Spirometry, CBC",
SLD-RES-010,"Avoid dust, strong smell and cold air. Wash the nose with saline. Change bedsheets weekly and dry them in the sun.","ধুলা, কড়া গন্ধ ও ঠান্ডা বাতাস এড়িয়ে চলুন। স্যালাইন দিয়ে নাক পরিষ্কার করুন। সপ্তাহে একবার বিছানার চাদর বদলে রোদে শুকান।","CBC with ESR, S. IgE",
SLD-RES-011,"Take every dose without a single break — stopping early makes the germ resistant. Cover the mouth when coughing. Bring the whole household for screening.","একটি ডোজও বাদ দেবেন না — মাঝপথে বন্ধ করলে জীবাণু ওষুধ প্রতিরোধী হয়ে যায়। কাশির সময় মুখ ঢাকুন। পরিবারের সবাইকে পরীক্ষার জন্য আনুন।","Sputum for AFB / GeneXpert, Chest X-ray P/A view, CBC with ESR",
# --- Fever and infection --------------------------------------------------
SLD-GEN-001,"Paracetamol only for fever. Drink plenty of water. Return at once if the fever crosses five days, or if there is bleeding, severe weakness or reduced urine.","জ্বরের জন্য শুধু প্যারাসিটামল খাবেন। প্রচুর পানি পান করুন। পাঁচ দিনের বেশি জ্বর থাকলে, রক্তপাত, খুব দুর্বলতা বা প্রস্রাব কমে গেলে সাথে সাথে আসুন।","CBC, Urine R/E",
SLD-INF-001,"No painkillers except paracetamol — aspirin and NSAIDs are dangerous in dengue. Drink plenty of fluids and keep count of urine. Come immediately for bleeding, severe abdominal pain, vomiting or restlessness. Repeat the CBC as advised.","প্যারাসিটামল ছাড়া অন্য ব্যথার ওষুধ নয় — ডেঙ্গুতে অ্যাসপিরিন ও এনএসএআইডি বিপজ্জনক। প্রচুর তরল পান করুন ও প্রস্রাবের পরিমাণ খেয়াল রাখুন। রক্তপাত, পেটে তীব্র ব্যথা, বমি বা অস্থিরতা হলে সাথে সাথে আসবেন। বলা সময়ে আবার সিবিসি করাবেন।","CBC with platelet count (repeat daily), NS1 antigen, Dengue IgM and IgG",
SLD-INF-005,"Complete the full antibiotic course. Eat soft food and drink safe boiled water. Rest until the fever settles.","অ্যান্টিবায়োটিকের পুরো কোর্স শেষ করুন। নরম খাবার খান ও ফুটানো নিরাপদ পানি পান করুন। জ্বর না কমা পর্যন্ত বিশ্রাম নিন।","CBC, Blood culture and sensitivity, Widal test",
SLD-INF-008,"Rest and fluids. Paracetamol for fever only. Return if the fever lasts beyond three days or new symptoms appear.","বিশ্রাম ও প্রচুর তরল। জ্বরের জন্য শুধু প্যারাসিটামল। তিন দিনের বেশি জ্বর থাকলে বা নতুন উপসর্গ দেখা দিলে আবার আসুন।","CBC",
SLD-INF-014,"Keep the rash clean and dry. Do not scratch. Pain may persist for weeks after the rash heals.","র‍্যাশ পরিষ্কার ও শুকনো রাখুন। চুলকাবেন না। র‍্যাশ শুকানোর পরও কয়েক সপ্তাহ ব্যথা থাকতে পারে।","CBC, Fasting blood sugar",
# --- Bones and pain -------------------------------------------------------
SLD-MSK-001,"Avoid lifting heavy weight and bending forward. Do not sit on the floor for long. Use a firm bed. Start back exercises once the pain settles.","ভারী জিনিস তোলা ও সামনে ঝোঁকা এড়িয়ে চলুন। মেঝেতে বেশিক্ষণ বসবেন না। শক্ত বিছানা ব্যবহার করুন। ব্যথা কমলে কোমরের ব্যায়াম শুরু করুন।","X-ray L/S spine B/V, S. Calcium, S. Vitamin D",
SLD-MSK-002,"Avoid looking down at a phone for long. Use a thin pillow. Do neck exercises daily once the pain settles.","অনেকক্ষণ মোবাইলের দিকে ঝুঁকে থাকবেন না। পাতলা বালিশ ব্যবহার করুন। ব্যথা কমলে প্রতিদিন ঘাড়ের ব্যায়াম করুন।","X-ray cervical spine B/V",
SLD-MSK-005,"Reduce weight — every kilo counts on the knee. Avoid stairs, squatting and sitting cross-legged. Do daily quadriceps exercise.","ওজন কমান — হাঁটুর জন্য প্রতি কেজিই গুরুত্বপূর্ণ। সিঁড়ি, উবু হয়ে বসা ও আসন করে বসা এড়িয়ে চলুন। প্রতিদিন থাইয়ের ব্যায়াম করুন।","X-ray both knee joints, S. Uric acid, S. Calcium, S. Vitamin D",
SLD-MSK-008,"Take calcium and vitamin D as advised. Walk daily in the sun. Remove loose rugs and wet floors to prevent a fall.","পরামর্শ অনুযায়ী ক্যালসিয়াম ও ভিটামিন ডি নেবেন। প্রতিদিন রোদে হাঁটুন। পড়ে যাওয়া ঠেকাতে ঘরের পিচ্ছিল জায়গা ও আলগা মাদুর সরিয়ে ফেলুন।","S. Calcium, S. Vitamin D, DEXA scan",
# --- Head and nerves ------------------------------------------------------
SLD-NEU-001,"Sleep and eat at regular times. Identify and avoid your triggers. Rest in a dark quiet room during an attack. Do not take painkillers more than twice a week.","ঘুম ও খাওয়ার সময় নিয়মিত রাখুন। কোন কারণে ব্যথা ওঠে খেয়াল করে তা এড়িয়ে চলুন। ব্যথার সময় অন্ধকার শান্ত ঘরে বিশ্রাম নিন। সপ্তাহে দুইবারের বেশি ব্যথার ওষুধ খাবেন না।","CBC, Eye check up",
SLD-NEU-002,"Reduce screen time and take breaks. Correct your sitting posture. Sleep seven to eight hours.","স্ক্রিনের সময় কমান ও মাঝে বিরতি নিন। বসার ভঙ্গি ঠিক করুন। সাত-আট ঘণ্টা ঘুমান।","",
SLD-NEU-008,"Get up from bed slowly, in stages. Avoid sudden head turns. It usually settles within a few weeks.","বিছানা থেকে ধীরে ধীরে ধাপে ধাপে উঠবেন। হঠাৎ মাথা ঘোরাবেন না। সাধারণত কয়েক সপ্তাহে ভালো হয়ে যায়।","CBC, Fasting blood sugar, Blood pressure record",
SLD-NEU-014,"Fixed sleeping and waking times. No phone in bed. No tea or coffee after evening. Do not nap in the day.","ঘুম ও ঘুম থেকে ওঠার সময় নির্দিষ্ট রাখুন। বিছানায় মোবাইল নয়। সন্ধ্যার পর চা-কফি নয়। দিনে ঘুমাবেন না।","TSH, CBC",
# --- Urine and kidney -----------------------------------------------------
SLD-REN-001,"Drink at least three litres of water a day. Do not hold urine. Complete the full course.","দিনে অন্তত তিন লিটার পানি পান করুন। প্রস্রাব চেপে রাখবেন না। পুরো কোর্স শেষ করুন।","Urine R/E, Urine culture and sensitivity, S. Creatinine",
SLD-REN-003,"Drink three litres of water daily. Reduce salt. Strain the urine and bring any stone that passes.","প্রতিদিন তিন লিটার পানি পান করুন। লবণ কম খান। প্রস্রাব ছেঁকে দেখুন, পাথর বের হলে নিয়ে আসবেন।","USG of KUB, Urine R/E, S. Creatinine, S. Uric acid",
# --- Skin -----------------------------------------------------------------
SLD-DER-001,"Keep the skin moisturised twice a day. Use lukewarm, not hot, water. Avoid soap on the affected area and do not scratch.","দিনে দুইবার ময়েশ্চারাইজার লাগান। গরম নয়, কুসুম গরম পানি ব্যবহার করুন। আক্রান্ত জায়গায় সাবান নয় এবং চুলকাবেন না।","",
SLD-DER-005,"Note what brings it on — food, medicine or heat. Avoid hot baths and tight clothes. Come at once if the lips, tongue or breathing are affected.","কী কারণে হচ্ছে খেয়াল রাখুন — খাবার, ওষুধ না গরম। গরম পানিতে গোসল ও আঁটসাঁট পোশাক এড়িয়ে চলুন। ঠোঁট, জিহ্বা ফুলে গেলে বা শ্বাসকষ্ট হলে সাথে সাথে আসবেন।","CBC with eosinophil count",
SLD-DER-006,"Keep the area dry. Wear loose cotton clothes. Continue the cream for two weeks after it looks healed. Do not share towels.","জায়গাটি শুকনো রাখুন। ঢিলেঢালা সুতির কাপড় পরুন। ভালো হয়ে যাওয়ার পরও দুই সপ্তাহ ক্রিম চালিয়ে যান। তোয়ালে অন্যের সাথে ব্যবহার করবেন না।","",
SLD-DER-010,"Everyone in the house must be treated on the same day. Wash and sun-dry all bedding and clothes. Itching can continue for two weeks after cure.","ঘরের সবাইকে একই দিনে চিকিৎসা নিতে হবে। সব বিছানা ও কাপড় ধুয়ে রোদে শুকান। ভালো হওয়ার পরও দুই সপ্তাহ চুলকানি থাকতে পারে।","",
# --- Blood ----------------------------------------------------------------
SLD-HEM-001,"Take iron with vitamin C or lemon, never with tea or milk. Eat liver, egg and dark green vegetables. The stool may turn black — that is expected.","আয়রন ভিটামিন সি বা লেবুর সাথে খাবেন, চা বা দুধের সাথে নয়। কলিজা, ডিম ও গাঢ় সবুজ শাক খান। পায়খানা কালো হতে পারে — এটি স্বাভাবিক।","CBC, PBF, S. Ferritin, Stool for occult blood",
# --- Women's health -------------------------------------------------------
SLD-OBG-001,"Take iron and calcium daily. Eat a little more than usual and rest. Come at once for bleeding, severe headache, blurred vision or reduced baby movement.","প্রতিদিন আয়রন ও ক্যালসিয়াম খাবেন। স্বাভাবিকের চেয়ে একটু বেশি খাবেন ও বিশ্রাম নেবেন। রক্তপাত, তীব্র মাথাব্যথা, চোখে ঝাপসা দেখা বা বাচ্চার নড়াচড়া কমে গেলে সাথে সাথে আসবেন।","CBC, Blood grouping and Rh, Urine R/E, Fasting blood sugar, HBsAg, VDRL, USG of pregnancy profile",
SLD-OBG-006,"A warm compress on the lower abdomen helps. Keep walking and stay active. Take the painkiller with food, at the start of the pain.","তলপেটে গরম সেঁক দিলে আরাম হয়। হাঁটাচলা চালিয়ে যান। ব্যথা শুরুর সময়েই খাবারের পর ব্যথার ওষুধ খাবেন।","CBC, USG of lower abdomen",
SLD-OBG-013,"Keep the area clean and dry. Wear cotton underwear. Avoid douching and scented soap.","জায়গাটি পরিষ্কার ও শুকনো রাখুন। সুতির অন্তর্বাস পরুন। ভেতরে ধোয়া ও সুগন্ধি সাবান এড়িয়ে চলুন।","Urine R/E, High vaginal swab",
# --- Mind -----------------------------------------------------------------
SLD-PSY-001,"Fixed sleep and wake times. Twenty minutes of walking daily. Reduce tea, coffee and late-night phone use. Give the medicine two to three weeks to work.","ঘুম ও ওঠার সময় নির্দিষ্ট রাখুন। প্রতিদিন বিশ মিনিট হাঁটুন। চা, কফি ও রাত জেগে মোবাইল কমান। ওষুধ কাজ করতে দুই-তিন সপ্তাহ সময় লাগবে।","TSH, CBC",
SLD-PSY-002,"Do not stop the medicine when you start feeling better — that is when it is working. Keep a daily routine and stay with people. Tell someone immediately if thoughts of self-harm come.","ভালো লাগতে শুরু করলেই ওষুধ বন্ধ করবেন না — তখনই ওষুধ কাজ করছে। প্রতিদিনের রুটিন মেনে চলুন ও মানুষের সাথে থাকুন। নিজের ক্ষতির চিন্তা এলে সাথে সাথে কাউকে জানাবেন।","TSH, CBC, Vitamin B12",
SLD-PSY-009,"Pick a quit date within two weeks. Remove cigarettes from the house. The urge passes in five minutes — drink water and walk it off.","দুই সপ্তাহের মধ্যে একটি তারিখ ঠিক করে ছেড়ে দিন। ঘর থেকে সিগারেট সরিয়ে ফেলুন। ইচ্ছেটা পাঁচ মিনিটেই চলে যায় — পানি খান, একটু হেঁটে আসুন।","Chest X-ray P/A view",
# --- Ear, throat, eye -----------------------------------------------------
SLD-ENT-001,"Keep water out of the ear. Do not put oil or drops unless prescribed. Complete the full course.","কানে পানি ঢুকতে দেবেন না। পরামর্শ ছাড়া তেল বা ড্রপ দেবেন না। পুরো কোর্স শেষ করুন।","",
SLD-EYE-001,"Do not rub the eye. Wash hands often and use a separate towel. It spreads easily at home and school.","চোখ ঘষবেন না। বারবার হাত ধুবেন ও আলাদা তোয়ালে ব্যবহার করুন। এটি ঘরে ও স্কুলে সহজে ছড়ায়।","",
